person,personLabel,value,valueLabel,Born,Pa
http://www.wikidata.org/entity/Q27002639,Levon Bashinjaghyan,http://www.wikidata.org/entity/Q17281087,Doktor der Philologie,1893-01-01T00:00:00Z,http://www.wikidata.org/entity/Q2064083
http://www.wikidata.org/entity/Q63930603,Arsen Subashiev,http://www.wikidata.org/entity/Q17281097,Doktor der Wissenschaften in Physik und Mathematik,1943-10-24T00:00:00Z,http://www.wikidata.org/entity/Q63930314
http://www.wikidata.org/entity/Q15455688,Leon Armenowitsch Tachtadschjan,http://www.wikidata.org/entity/Q17281097,Doktor der Wissenschaften in Physik und Mathematik,1950-10-01T00:00:00Z,http://www.wikidata.org/entity/Q348006
http://www.wikidata.org/entity/Q4459955,Nikita Alexejewitsch Tolstoi,http://www.wikidata.org/entity/Q17281097,Doktor der Wissenschaften in Physik und Mathematik,1917-03-12T00:00:00Z,http://www.wikidata.org/entity/Q192279
http://www.wikidata.org/entity/Q4066420,Igor Jewgenjewitsch Anitschkow,http://www.wikidata.org/entity/Q17281087,Doktor der Philologie,1897-05-23T00:00:00Z,http://www.wikidata.org/entity/Q4066421
http://www.wikidata.org/entity/Q327885,Gasan Gusejnov,http://www.wikidata.org/entity/Q17281087,Doktor der Philologie,1953-09-02T00:00:00Z,http://www.wikidata.org/entity/Q4152782
http://www.wikidata.org/entity/Q18518712,Login Nikolajewitsch Bolschew,http://www.wikidata.org/entity/Q17281097,Doktor der Wissenschaften in Physik und Mathematik,1922-03-06T00:00:00Z,http://www.wikidata.org/entity/Q110292891
http://www.wikidata.org/entity/Q997,Andrei Dmitrijewitsch Sacharow,http://www.wikidata.org/entity/Q17281097,Doktor der Wissenschaften in Physik und Mathematik,1921-05-21T00:00:00Z,http://www.wikidata.org/entity/Q4409476
http://www.wikidata.org/entity/Q37118943,Ljudmila Dmitrijewna Sinkowa,http://www.wikidata.org/entity/Q17281087,Doktor der Philologie,1958-12-02T00:00:00Z,http://www.wikidata.org/entity/Q13030626
http://www.wikidata.org/entity/Q6745676,Mamikon Mnatsakanian,http://www.wikidata.org/entity/Q17281097,Doktor der Wissenschaften in Physik und Mathematik,1942-04-17T00:00:00Z,http://www.wikidata.org/entity/Q13050940
http://www.wikidata.org/entity/Q333975,Sergei Petrowitsch Nowikow,http://www.wikidata.org/entity/Q17281097,Doktor der Wissenschaften in Physik und Mathematik,1938-03-20T00:00:00Z,http://www.wikidata.org/entity/Q982580
http://www.wikidata.org/entity/Q1340315,Endel Lippmaa,http://www.wikidata.org/entity/Q17281097,Doktor der Wissenschaften in Physik und Mathematik,1930-09-15T00:00:00Z,http://www.wikidata.org/entity/Q3736167
http://www.wikidata.org/entity/Q374205,Wiktor Pawlowitsch Maslow,http://www.wikidata.org/entity/Q17281097,Doktor der Wissenschaften in Physik und Mathematik,1930-06-15T00:00:00Z,http://www.wikidata.org/entity/Q28358732
http://www.wikidata.org/entity/Q5638373,Hafiz Pashayev,http://www.wikidata.org/entity/Q17281097,Doktor der Wissenschaften in Physik und Mathematik,1941-05-02T00:00:00Z,http://www.wikidata.org/entity/Q2598226
http://www.wikidata.org/entity/Q51307574,Nelli Ananyan,http://www.wikidata.org/entity/Q17281087,Doktor der Philologie,1938-04-03T00:00:00Z,http://www.wikidata.org/entity/Q8099813
http://www.wikidata.org/entity/Q28540899,Ashot Petrossian,http://www.wikidata.org/entity/Q17281097,Doktor der Wissenschaften in Physik und Mathematik,1943-12-28T00:00:00Z,http://www.wikidata.org/entity/Q13052523
http://www.wikidata.org/entity/Q4393841,Alexander Alexandrowitsch Reformatski,http://www.wikidata.org/entity/Q17281087,Doktor der Philologie,1900-10-29T00:00:00Z,http://www.wikidata.org/entity/Q16691992
http://www.wikidata.org/entity/Q38692969,Alexander Wladimirowitsch Iljin,http://www.wikidata.org/entity/Q17281097,Doktor der Wissenschaften in Physik und Mathematik,1973-01-11T00:00:00Z,http://www.wikidata.org/entity/Q4199550
http://www.wikidata.org/entity/Q26208138,Q26208138,http://www.wikidata.org/entity/Q17281087,Doktor der Philologie,1928-04-01T00:00:00Z,http://www.wikidata.org/entity/Q4149434
