person,value,valueLabel,Born,Child
http://www.wikidata.org/entity/Q16400996,http://www.wikidata.org/entity/Q121594,professor,1941-05-14T00:00:00Z,http://www.wikidata.org/entity/Q20512003
http://www.wikidata.org/entity/Q16379306,http://www.wikidata.org/entity/Q121594,professor,1953-01-01T00:00:00Z,http://www.wikidata.org/entity/Q22677778
http://www.wikidata.org/entity/Q17362441,http://www.wikidata.org/entity/Q121594,professor,1904-10-14T00:00:00Z,http://www.wikidata.org/entity/Q11719311
http://www.wikidata.org/entity/Q17277123,http://www.wikidata.org/entity/Q121594,professor,1964-02-04T00:00:00Z,http://www.wikidata.org/entity/Q96064732
http://www.wikidata.org/entity/Q16561305,http://www.wikidata.org/entity/Q121594,professor,1924-06-19T00:00:00Z,http://www.wikidata.org/entity/Q505565
http://www.wikidata.org/entity/Q17043619,http://www.wikidata.org/entity/Q121594,professor,1930-03-20T00:00:00Z,http://www.wikidata.org/entity/Q3919323
http://www.wikidata.org/entity/Q18876978,http://www.wikidata.org/entity/Q121594,professor,1941-03-23T00:00:00Z,http://www.wikidata.org/entity/Q18877308
http://www.wikidata.org/entity/Q17864518,http://www.wikidata.org/entity/Q121594,professor,1912-05-16T00:00:00Z,http://www.wikidata.org/entity/Q11731748
http://www.wikidata.org/entity/Q18876978,http://www.wikidata.org/entity/Q121594,professor,1941-03-21T00:00:00Z,http://www.wikidata.org/entity/Q18877308
http://www.wikidata.org/entity/Q19364243,http://www.wikidata.org/entity/Q121594,professor,1921-03-16T00:00:00Z,http://www.wikidata.org/entity/Q99624
http://www.wikidata.org/entity/Q19971833,http://www.wikidata.org/entity/Q121594,professor,1901-08-02T00:00:00Z,http://www.wikidata.org/entity/Q3511841
http://www.wikidata.org/entity/Q19971833,http://www.wikidata.org/entity/Q121594,professor,1901-08-02T00:00:00Z,http://www.wikidata.org/entity/Q50493867
http://www.wikidata.org/entity/Q19971833,http://www.wikidata.org/entity/Q121594,professor,1901-03-02T00:00:00Z,http://www.wikidata.org/entity/Q3511841
http://www.wikidata.org/entity/Q19971833,http://www.wikidata.org/entity/Q121594,professor,1901-03-02T00:00:00Z,http://www.wikidata.org/entity/Q50493867
http://www.wikidata.org/entity/Q20508392,http://www.wikidata.org/entity/Q121594,professor,1909-02-25T00:00:00Z,http://www.wikidata.org/entity/Q30896055
http://www.wikidata.org/entity/Q20507808,http://www.wikidata.org/entity/Q121594,professor,1903-02-05T00:00:00Z,http://www.wikidata.org/entity/Q28096250
http://www.wikidata.org/entity/Q20508599,http://www.wikidata.org/entity/Q121594,professor,1924-11-25T00:00:00Z,http://www.wikidata.org/entity/Q6912883
http://www.wikidata.org/entity/Q20511277,http://www.wikidata.org/entity/Q121594,professor,1940-05-04T00:00:00Z,http://www.wikidata.org/entity/Q20511266
http://www.wikidata.org/entity/Q20510150,http://www.wikidata.org/entity/Q121594,professor,1908-03-23T00:00:00Z,http://www.wikidata.org/entity/Q28654175
http://www.wikidata.org/entity/Q20511338,http://www.wikidata.org/entity/Q121594,professor,1920-09-01T00:00:00Z,http://www.wikidata.org/entity/Q26906195
http://www.wikidata.org/entity/Q20512956,http://www.wikidata.org/entity/Q121594,professor,1924-11-17T00:00:00Z,http://www.wikidata.org/entity/Q88302855
http://www.wikidata.org/entity/Q20513060,http://www.wikidata.org/entity/Q121594,professor,1910-01-10T00:00:00Z,http://www.wikidata.org/entity/Q20513038
http://www.wikidata.org/entity/Q20512873,http://www.wikidata.org/entity/Q121594,professor,1926-09-06T00:00:00Z,http://www.wikidata.org/entity/Q4450987
http://www.wikidata.org/entity/Q20513760,http://www.wikidata.org/entity/Q121594,professor,1926-04-26T00:00:00Z,http://www.wikidata.org/entity/Q21209841
http://www.wikidata.org/entity/Q21199720,http://www.wikidata.org/entity/Q121594,professor,1921-01-01T00:00:00Z,http://www.wikidata.org/entity/Q21211485
http://www.wikidata.org/entity/Q22814189,http://www.wikidata.org/entity/Q121594,professor,1909-10-13T00:00:00Z,http://www.wikidata.org/entity/Q9375823
